samarTa	able	antoine1-25
asamarTa	unable	antoine1-25
Sakya	capable of being done	antoine1-25
praSamaH	cessation	antoine1-25
praSamaM nI	to check	antoine1-25
sAraTiH	m. charioteer	antoine1-25
arh arhati	to deserve	antoine1-25
yat yatate	to strive	antoine1-25
yujyate	it is proper	antoine1-25
Kid Kidyate	to be depressed	antoine1-25
Sak	to be able	antoine1-25
A-ruh Arohati	to mount, to climb	antoine1-25
dozaH	fault, defect	antoine1-25
guRavat	virtuous	antoine1-25
guRarAgin	lover of virtue	antoine1-25
kalaNkaH	spot, mark	antoine1-25
vyADiH	m. disease	antoine1-25
jAtamAtraH	hardly born	antoine1-25
vA	or	antoine1-25
anurAgaH	love	antoine1-25
saMmAnaya saMmAnayati	to esteem, to honor	antoine1-25
saMsad saMsat	f. assembly	antoine1-25
utsAraRam	driving away	antoine1-25
rAjavallaBaH	courtier	antoine1-25
atipuzwANgayukta	strongly built	antoine1-25
