A-dA	receive	antoine1-24
anu-BU anuBavati	feel, enjoy	antoine1-24
gOtamaH	Gautama	antoine1-24
araRyam	forest	antoine1-24
skanDaH	shoulder	antoine1-24
ni-DA	to put down	antoine1-24
vipraH	a brahmin	antoine1-24
kaHcit (kaScit)	(pron) a certain	antoine1-24
kaH-api (ko'pi, kimapi, etc.)	(pron) a certain	antoine1-24
yajYaH	sacrifice	antoine1-24
krI	to buy	antoine1-24
vi-krI	to sell	antoine1-24
CAgaH	goat	antoine1-24
DUrtaH	rogue	antoine1-24
tataH	then	antoine1-24
upAyaH	means	antoine1-24
prakarzaH	excellence	antoine1-24
talam	base, foot	antoine1-24
Agamanam	coming	antoine1-24
sASaMkam	(adv) with fear	antoine1-24
prati-Ikz pratIkzate	to wait	antoine1-24
pari-Ikz parIkzate	to examine	antoine1-24
aBi-DA	to address	antoine1-24
kukkuraH	dog	antoine1-24
A-karR AkarRayati	to hear, listen	antoine1-24
niHsaMSayam	certainly	antoine1-24
